$ JOHN DAY_OUTFLOW.npt based on $//JOHN DAY_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1185.000000,6602.846
1186.000000,6073.42
1187.000000,6950.675
1188.000000,6613.554
1189.000000,6058.772
1190.000000,6195.84
1191.000000,6165.835
1192.000000,6390.938
1193.000000,6358.587
1194.000000,6160.07
1195.000000,5902.437
1196.000000,6309.629
1197.000000,6726.166
1198.000000,6891.487
1199.000000,6696.154
1200.000000,6397.555
1201.000000,6437.537
1202.000000,6360.333
1203.000000,7127.472
1204.000000,6812.032
1205.000000,6845.417
1206.000000,7458.338
1207.000000,7660.06
1208.000000,7365.753
1209.000000,6954.308
1210.000000,7818.396
1211.000000,7173.545
1212.000000,7355.761
1213.000000,7538.383
1214.000000,7802.208
1215.000000,7407.691
1216.000000,7513.001
1217.000000,7544.779
1218.000000,7613.799
1219.000000,7169.471
1220.000000,7671.48
1221.000000,8226.523
1222.000000,8389.346
1223.000000,8815.403
1224.000000,8937.48
1225.000000,8340.301
1226.000000,8102.812
1227.000000,7470.32
1228.000000,7695.689
1229.000000,8130.399
1230.000000,8076.608
1231.000000,7418.538
1232.000000,7338.613
1233.000000,7698.055
1234.000000,8758.886
1235.000000,9377.115
1236.000000,9494.75
1237.000000,10102.92
1238.000000,9848.955
1239.000000,9319.673
1240.000000,9301.65
1241.000000,10238.35
1242.000000,10001.6
1243.000000,10376.87
1244.000000,10491.05
1245.000000,10713.84
1246.000000,10362.9
1247.000000,10268.89
1248.000000,9626.209
1249.000000,9402.98
1250.000000,9816.127
1251.000000,10146
1252.000000,10015.08
1253.000000,9785.604
1254.000000,10042.4
1255.000000,9126.55
1256.000000,8518.326
1257.000000,8461.848
1258.000000,8477.307
1259.000000,8040.5
1260.000000,7427.403
1261.000000,6814.528
1262.000000,7217.513
1263.000000,6571.439
1264.000000,6207.957
1265.000000,5995.297
1266.000000,7257.79
1267.000000,7469.362
1268.000000,7133.12
1269.000000,7287.103
1270.000000,7998.523
1271.000000,8060.349
1272.000000,7978.505
1273.000000,7861.472
1274.000000,7661.744
1275.000000,7510.458
1276.000000,7234.175
1277.000000,7985.852
1278.000000,9000.723
1279.000000,8508.716
1280.000000,8032.367
